IATACode;Name;City;Country;Timezone
FRA;Frankfurt am Main;Frankfurt am Main;Germany;Europe/Berlin
HEL;Vantaa;Helsinki;Finland;Europe/Helsinki
JFK;John F. Kennedy;New York;USA;America/New_York
IST;Istanbul Atatürk Airport;Istanbul;Turkey;Europe/Istanbul
HIJ;Hiroshima International;Hiroshima;Japan;Asia/Tokyo
BLR;Bengaluru Kempegowda International Airport;Bangalore;India;Asia/Kolkata
